len,policy,tokens_sec,latency_ms,peak_mem_mb
1024,FullCache,81.85490624787465,12.21673868847617,79.76416015625
1024,Sliding_L=84,108.68276304287177,9.201091065429878,68.37353515625
1024,Sliding_L=512,90.26739638441501,11.078197001953782,73.38916015625
1024,HiKV_Learned_64_16_4,114.4404577222208,8.738168475586505,68.30419921875
2048,FullCache,62.59694516582959,15.975220473632312,93.580078125
2048,Sliding_L=84,108.81379856218166,9.19001094726557,68.37353515625
2048,Sliding_L=512,88.18270361827949,11.340092319336748,73.38916015625
2048,HiKV_Learned_64_16_4,108.5429070206809,9.212946542969114,68.31591796875
